id,URL,sentence
27,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008","his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone."
28,https://en.wikinews.org/wiki/Businessman_and_founder_of_The_Weather_Channel_Frank_Batten_dies_at_82,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.
29,https://en.wikinews.org/wiki/Businessman_and_founder_of_The_Weather_Channel_Frank_Batten_dies_at_82,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.
30,https://en.wikinews.org/wiki/Abu_Ghraib_prison_burns_after_riot,Iraq's Abu Ghraib prison has been set alight during a riot.
31,https://en.wikinews.org/wiki/Abu_Ghraib_prison_burns_after_riot,The jail became notorious after prisoner abuse was discovered there after US forces took over.
32,https://en.wikinews.org/wiki/Renault_F1_launch_criminal_complaint_against_former_driver_over_race-fixing_allegation,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car."
33,https://en.wikinews.org/wiki/Renault_F1_launch_criminal_complaint_against_former_driver_over_race-fixing_allegation,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory."
34,https://en.wikinews.org/wiki/Renault_F1_launch_criminal_complaint_against_former_driver_over_race-fixing_allegation,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.
35,https://en.wikinews.org/wiki/September_11_attacks_remembered_in_US,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target."
36,https://en.wikinews.org/wiki/September_11_attacks_remembered_in_US,Two beams of light have been rigged up to point skywards overnight.
37,https://en.wikinews.org/wiki/September_11_attacks_remembered_in_US,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle."
38,https://en.wikinews.org/wiki/American_children%27s_show_Reading_Rainbow_ends_26_year_run,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood."
39,https://en.wikinews.org/wiki/American_children%27s_show_Reading_Rainbow_ends_26_year_run,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.
40,https://en.wikinews.org/wiki/American_children%27s_show_Reading_Rainbow_ends_26_year_run,Each show would also provide recommendations for books that children should look for when they went to their library.
41,https://en.wikinews.org/wiki/American_children%27s_show_Reading_Rainbow_ends_26_year_run,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read."""
42,https://en.wikinews.org/wiki/American_children%27s_show_Reading_Rainbow_ends_26_year_run,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series."
43,https://en.wikinews.org/wiki/Hurricane_Fred_churns_the_Atlantic,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say."
44,https://en.wikinews.org/wiki/Hurricane_Fred_churns_the_Atlantic,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.
45,https://en.wikinews.org/wiki/Hurricane_Fred_churns_the_Atlantic,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W."
46,https://en.wikinews.org/wiki/Guinness_turns_250,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland."
47,https://en.wikinews.org/wiki/Guinness_turns_250,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year."
48,https://en.wikinews.org/wiki/A1GP_New_Zealand_speeds_its_way_into_record_books,"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally."
49,https://en.wikinews.org/wiki/A1GP_New_Zealand_speeds_its_way_into_record_books,"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge."
50,https://en.wikinews.org/wiki/A1GP_New_Zealand_speeds_its_way_into_record_books,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h."
51,https://en.wikinews.org/wiki/Judge_orders_Baltimore_City_prison_to_produce_plan_for_improvement,"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged."
52,https://en.wikinews.org/wiki/Judge_orders_Baltimore_City_prison_to_produce_plan_for_improvement,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner."
53,https://en.wikinews.org/wiki/Judge_orders_Baltimore_City_prison_to_produce_plan_for_improvement,"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked."
54,https://en.wikinews.org/wiki/Judge_orders_Baltimore_City_prison_to_produce_plan_for_improvement,The hearing also marks the date for the suspect’s right to a speedy trial.
55,https://en.wikinews.org/wiki/Australian_treasurer_enters_nuclear_debate,"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia."
56,https://en.wikinews.org/wiki/Australian_treasurer_enters_nuclear_debate,"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use."
57,https://en.wikinews.org/wiki/Australian_treasurer_enters_nuclear_debate,"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said."
58,https://en.wikinews.org/wiki/Italy_arrests_reputed_Mafia_boss_Lo_Piccolo,"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession."
59,https://en.wikinews.org/wiki/Italy_arrests_reputed_Mafia_boss_Lo_Piccolo,Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.
60,https://en.wikinews.org/wiki/Italy_arrests_reputed_Mafia_boss_Lo_Piccolo,"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992."""
61,https://en.wikinews.org/wiki/Apple_introduces_iPhone_and_Apple_TV,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.
62,https://en.wikinews.org/wiki/Apple_introduces_iPhone_and_Apple_TV,"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today""."
63,https://en.wikinews.org/wiki/Huge_Gay_Pride_parade_held_in_Brazil,"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country."
64,https://en.wikinews.org/wiki/Huge_Gay_Pride_parade_held_in_Brazil,"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul."
65,https://en.wikinews.org/wiki/Huge_Gay_Pride_parade_held_in_Brazil,"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson."
66,https://en.wikinews.org/wiki/Huge_Gay_Pride_parade_held_in_Brazil,Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.
67,https://en.wikinews.org/wiki/Mass_evictions_from_Oakland%27s_public_housing,"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam."
68,https://en.wikinews.org/wiki/Mass_evictions_from_Oakland%27s_public_housing,"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town."
69,https://en.wikinews.org/wiki/Mass_evictions_from_Oakland%27s_public_housing,"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam."
70,"https://en.wikinews.org/wiki/Aerosmith_sued_over_late_cancellation_of_gig_in_Maui,_Hawaii","The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans."
71,"https://en.wikinews.org/wiki/Aerosmith_sued_over_late_cancellation_of_gig_in_Maui,_Hawaii","The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day."
72,https://en.wikinews.org/wiki/War_between_top_lawyers_in_Greece,"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption."
73,https://en.wikinews.org/wiki/War_between_top_lawyers_in_Greece,"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years."
74,https://en.wikinews.org/wiki/War_between_top_lawyers_in_Greece,"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption."
75,https://en.wikinews.org/wiki/War_between_top_lawyers_in_Greece,"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour."
76,https://en.wikinews.org/wiki/Senate_questions_Roberts_in_confirmation_hearings,"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases."
77,https://en.wikinews.org/wiki/Senate_questions_Roberts_in_confirmation_hearings,"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings."
78,https://en.wikinews.org/wiki/Senate_questions_Roberts_in_confirmation_hearings,He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.
79,https://en.wikinews.org/wiki/Maroochydore_win_2013_Sunshine_Coast_Rugby_Union_Grand_Final,"Maroochydore had finished on top of the ladder, six points clear of Noosa in second."
80,https://en.wikinews.org/wiki/Maroochydore_win_2013_Sunshine_Coast_Rugby_Union_Grand_Final,The two sides would meet in the major semi final where Noosa ran out winners by 11 points.
81,https://en.wikinews.org/wiki/Maroochydore_win_2013_Sunshine_Coast_Rugby_Union_Grand_Final,Maroochydore then defeated Caboolture in the Preliminary Final.
82,https://en.wikinews.org/wiki/Fossilized_remains_of_small_dinosaur_rediscovered_in_Canada,Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .
83,https://en.wikinews.org/wiki/Fossilized_remains_of_small_dinosaur_rediscovered_in_Canada,"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor."
84,https://en.wikinews.org/wiki/Fossilized_remains_of_small_dinosaur_rediscovered_in_Canada,"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw."""
85,https://en.wikinews.org/wiki/Sealing_ships_trapped_in_ice_off_coast_of_Newfoundland,"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts."
86,https://en.wikinews.org/wiki/Sealing_ships_trapped_in_ice_off_coast_of_Newfoundland,Pittman suggested that conditions wouldn't improve until sometime next week.
87,https://en.wikinews.org/wiki/Sealing_ships_trapped_in_ice_off_coast_of_Newfoundland,"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years."
88,https://en.wikinews.org/wiki/Another_arrest_in_Minnesota_school_shooting,News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.
89,https://en.wikinews.org/wiki/Another_arrest_in_Minnesota_school_shooting,Authorities said little officially beyond confirming today's arrest.
90,https://en.wikinews.org/wiki/Another_arrest_in_Minnesota_school_shooting,"However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain."
91,https://en.wikinews.org/wiki/Another_arrest_in_Minnesota_school_shooting,It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.
92,"https://en.wikinews.org/wiki/Karzai_declared_winner_of_Afghan_elections,_runoff_polls_cancelled",Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.
93,"https://en.wikinews.org/wiki/Karzai_declared_winner_of_Afghan_elections,_runoff_polls_cancelled",Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary.
94,"https://en.wikinews.org/wiki/Karzai_declared_winner_of_Afghan_elections,_runoff_polls_cancelled","This contradicts earlier reports, which said that cancelling the runoff would have been against the constitution."
95,https://en.wikinews.org/wiki/Russian_military_cargo_jet_crash_kills_eleven_in_Siberia,The aircraft had been headed to Irkutsk and was being operated by interior troops.
96,https://en.wikinews.org/wiki/Russian_military_cargo_jet_crash_kills_eleven_in_Siberia,An inquiry was established to investigate.
97,https://en.wikinews.org/wiki/Russian_military_cargo_jet_crash_kills_eleven_in_Siberia,"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month."
98,https://en.wikinews.org/wiki/Russian_military_cargo_jet_crash_kills_eleven_in_Siberia,"On October 7 an engine separated on takeoff, without injuries. Russia briefly grounded Il-76s after that accident."
99,https://en.wikinews.org/wiki/Oil_spill_in_Alaska_closes_800_miles_of_pipeline,"800 miles of the Trans-Alaska Pipeline System were closed down following a spill of thousands of barrels of crude oil south of Fairbanks, Alaska."
100,https://en.wikinews.org/wiki/Oil_spill_in_Alaska_closes_800_miles_of_pipeline,A power failure following a routine fire-command system test caused relief valves to open and crude oil overflowed near the Fort Greely pump station 9.
101,https://en.wikinews.org/wiki/Oil_spill_in_Alaska_closes_800_miles_of_pipeline,"The valves opening allowed a pressure release for the system and oil flowed on a pad to a tank that can hold 55,000 barrels (2.3 million gallons)."
102,https://en.wikinews.org/wiki/Oil_spill_in_Alaska_closes_800_miles_of_pipeline,"As of Wednesday afternoon, the tank vents were still leaking probably from thermal expansion inside the tank."
103,https://en.wikinews.org/wiki/Oil_spill_in_Alaska_closes_800_miles_of_pipeline,"Another secondary containment area below the tanks capable of holding 104,500 barrels was not yet filled to capacity."
104,https://en.wikinews.org/wiki/Effect_of_sanctions_%27like_war%27_says_Iran%27s_Ahmadinejad,"The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect."
105,https://en.wikinews.org/wiki/Effect_of_sanctions_%27like_war%27_says_Iran%27s_Ahmadinejad,"They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income."
106,https://en.wikinews.org/wiki/Effect_of_sanctions_%27like_war%27_says_Iran%27s_Ahmadinejad,"In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day."
107,https://en.wikinews.org/wiki/Effect_of_sanctions_%27like_war%27_says_Iran%27s_Ahmadinejad,"The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as ""a trap"" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself."
108,https://en.wikinews.org/wiki/Distributed_computing_to_get_%22interstellar_project%22,"When the capsule gets to Earth and enters the atmosphere, at about 5am (eastern time), it is expected to put on quite a light show for folks in Northern California, Oregon, Nevada, and Utah."
109,https://en.wikinews.org/wiki/Distributed_computing_to_get_%22interstellar_project%22,The capsule will look much like a shooting star going across the sky.
110,https://en.wikinews.org/wiki/Distributed_computing_to_get_%22interstellar_project%22,"The capsule will be traveling at about 12.8 km or 8 miles per second, fast enough to go from San Francisco to Los Angeles in one minute."
111,https://en.wikinews.org/wiki/Distributed_computing_to_get_%22interstellar_project%22,"Stardust will set a new all-time record for being the fastest spacecraft to return to Earth, breaking the previous record set in May of 1969 during the return of the Apollo X command module."
112,https://en.wikinews.org/wiki/Distributed_computing_to_get_%22interstellar_project%22,"“It will move over the west coast of northern California and will light the sky from California through central Oregon and on through Nevada and Idaho and into Utah,” Tom Duxbury, Stardust's project manager said."
113,https://en.wikinews.org/wiki/New_Australian_Prime_Minister_signs_Kyoto,"Mr. Rudd's decision to sign the Kyoto climate accord isolates the United States, which will now be the only developed nation not to ratify the agreement."
114,https://en.wikinews.org/wiki/New_Australian_Prime_Minister_signs_Kyoto,"Australia's former conservative government refused to ratify Kyoto, saying it would damage the economy with its heavy reliance on coal exports, while countries like India and China were not bound by emissions targets."
115,https://en.wikinews.org/wiki/EBay_to_acquire_Skype,It is the biggest acquisition in eBay's history.
116,https://en.wikinews.org/wiki/EBay_to_acquire_Skype,"The company hopes to diversify its profit sources and gain popularity in areas where Skype holds a strong position, such as China, Eastern Europe, and Brazil."
117,https://en.wikinews.org/wiki/Cassini_discovers_Saturn_moon_atmosphere,Scientists have suspected Enceladus as geologically active and a possible source of Saturn's icy E ring.
118,https://en.wikinews.org/wiki/Cassini_discovers_Saturn_moon_atmosphere,"Enceladus is the most reflective object in the solar system, reflecting about 90 percent of the sunlight that hits it."
119,https://en.wikinews.org/wiki/Iraqi_based_war_video_game_pulled_by_publisher,The game publisher Konami stated today in a Japanese newspaper that they will not be releasing the game Six Days in Fallujah.
120,https://en.wikinews.org/wiki/Iraqi_based_war_video_game_pulled_by_publisher,"The game is based on the Second Battle of Fallujah, a vicious battle between American and Iraqi forces."
121,https://en.wikinews.org/wiki/Australian_Big_Brother_cleared_of_breaching_content_laws,"The ACMA also found that despite the video being streamed on the Internet, Big Brother had not breached online content censorship laws as the media had not been stored on Big Brother's website."
122,https://en.wikinews.org/wiki/Australian_Big_Brother_cleared_of_breaching_content_laws,"The Broadcasting Services Act provides for the regulation of Internet content, however to be considered Internet content, it must physically reside on a server."
123,https://en.wikinews.org/wiki/United_States_warns_of_suicide_attacks_in_Kenya_and_Ethiopia,"The United States embassy located in Nairobi, Kenya has issued a warning that ""extremists from Somalia"" are planning to launch suicide bomb attacks in Kenya and Ethiopia."
124,https://en.wikinews.org/wiki/United_States_warns_of_suicide_attacks_in_Kenya_and_Ethiopia,"The U.S. says it has received information from an undisclosed source that specifically mentions the use of suicide bombers to will blow up ""prominent landmarks"" in Ethiopia and Kenya."
125,https://en.wikinews.org/wiki/The_Onion:_An_interview_with_%27America%27s_Finest_News_Source%27,"Long before The Daily Show and The Colbert Report, Heck and Johnson envisioned a publication that would parody the news—and news reporting—when they were students at UW in 1988."
126,https://en.wikinews.org/wiki/The_Onion:_An_interview_with_%27America%27s_Finest_News_Source%27,"Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World."
127,https://en.wikinews.org/wiki/The_Onion:_An_interview_with_%27America%27s_Finest_News_Source%27,Al Gore and General Tommy Franks casually rattle off their favorite headlines (Gore's was when The Onion reported he and Tipper were having the best sex of their lives after his 2000 Electoral College defeat).
128,https://en.wikinews.org/wiki/The_Onion:_An_interview_with_%27America%27s_Finest_News_Source%27,Many of their writers have gone on to wield great influence on Jon Stewart and Stephen Colbert's news parody shows.
129,https://en.wikinews.org/wiki/Romanian_artists_auction_off_their_works_for_tsunami_victims,The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis.
130,https://en.wikinews.org/wiki/Romanian_artists_auction_off_their_works_for_tsunami_victims,"The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year."
131,https://en.wikinews.org/wiki/UK_government_outlines_plans_for_rail_transport,Today's announcement also extended the government's commitment made in March of this year to fund extra carriages.
132,https://en.wikinews.org/wiki/UK_government_outlines_plans_for_rail_transport,"An additional 300 brings the total to 1,300 carriages to be acquired to relieve overcrowding."
133,https://en.wikinews.org/wiki/Hollywood_sign_modified_to_read_%27Hollyweed%27,"Christopher Garcia, a spokesperson of the Los Angeles Police Department, said the suspected male offender is being investigated for trespassing rather than vandalism."
134,https://en.wikinews.org/wiki/Hollywood_sign_modified_to_read_%27Hollyweed%27,"The sign was not physically damaged; the modification was done using black tarpaulins decorated with signs of peace and heart to alter the ""O"" to read lowercase ""e""."
135,"https://en.wikinews.org/wiki/Red_tide_affects_South_Padre_Island,_Mexico","Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism."
136,"https://en.wikinews.org/wiki/Red_tide_affects_South_Padre_Island,_Mexico","Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically."
137,"https://en.wikinews.org/wiki/Red_tide_affects_South_Padre_Island,_Mexico",The algae produces a neurotoxin that can disable nerves in both humans and fish.
138,"https://en.wikinews.org/wiki/Red_tide_affects_South_Padre_Island,_Mexico",Fish often die because of the high concentrations of the toxin in the waters.
139,"https://en.wikinews.org/wiki/Red_tide_affects_South_Padre_Island,_Mexico",Humans can be affected by breathing affected water taken into the air by wind and waves.
140,https://en.wikinews.org/wiki/Rare_Middle_East_cyclone_batters_Oman,"At its peak, Tropical Cyclone Gonu, named for a bag of palm leaves in the language of the Maldives, reached sustained winds of 240 kilometers an hour (149 miles per hour) ."
141,https://en.wikinews.org/wiki/Rare_Middle_East_cyclone_batters_Oman,"By early today, winds were around 83 km/h, and it was expect to keep weakening."
142,https://en.wikinews.org/wiki/National_Basketball_Association_suspends_season_due_to_COVID-19_concerns,"On Wednesday, the United States' National Basketball Association (NBA) suspended its professional basketball season due to concerns regarding COVID-19."
143,https://en.wikinews.org/wiki/National_Basketball_Association_suspends_season_due_to_COVID-19_concerns,The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.
144,https://en.wikinews.org/wiki/New_fossils_from_10_million_year_old_ape_found_in_Ethiopia,"""Based on this fossil, that means the split is much earlier than has been anticipated by the molecular evidence."
145,https://en.wikinews.org/wiki/New_fossils_from_10_million_year_old_ape_found_in_Ethiopia,"That means everything has to be put back,"" said researcher at the Rift Valley Research Service in Ethiopia and a co-author of the study, Berhane Asfaw."
146,https://en.wikinews.org/wiki/Microsoft_and_Yahoo_team_up_to_make_IM_clients_compatible,"Until now, AOL has been able to move and develop the IM market at its own pace, due to its widespread use within the United States."
147,https://en.wikinews.org/wiki/Microsoft_and_Yahoo_team_up_to_make_IM_clients_compatible,"With this arrangement in place, this freedom might end."
148,https://en.wikinews.org/wiki/Microsoft_and_Yahoo_team_up_to_make_IM_clients_compatible,The number of users of the Yahoo! and Microsoft services combined will rival the number of AOL's customers.
149,https://en.wikinews.org/wiki/Nationalised_bank_Northern_Rock_sold_to_Virgin_Money,The Northern Rock bank had been nationalised in 2008 following the revelation that the company had received emergency support from the UK Government.
150,https://en.wikinews.org/wiki/Nationalised_bank_Northern_Rock_sold_to_Virgin_Money,Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.
151,https://en.wikinews.org/wiki/Nationalised_bank_Northern_Rock_sold_to_Virgin_Money,Sir Richard Branson's Virgin Group had a bid for the bank rejected prior to the bank’s nationalisation.
152,https://en.wikinews.org/wiki/Nationalised_bank_Northern_Rock_sold_to_Virgin_Money,"In 2010, while nationalised, the current high street bank Northern Rock plc was split from the ‘bad bank’, Northern Rock (Asset Management)."
153,https://en.wikinews.org/wiki/Nationalised_bank_Northern_Rock_sold_to_Virgin_Money,"Virgin have only purchased the ‘good bank’ of Northern Rock, not the asset management company."
